scenario_id,timestamp,zone,gas_level,temperature,pressure,ventilation,hot_work,maintenance,confined_space_entry,environmental_risk_score,incident_type,risk_score,confidence_score,time_to_escalation,risk_factors,recommended_actions
11,2026-07-01 08:50:00,Zone C,66.81,44.76,81.31,25.35,0,0,1,66.88,Toxic Exposure,90.0,90,24 Minutes,"[""High Gas Levels"", ""High Pressure"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Emergency relief valve activation"", ""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
12,2026-07-01 08:55:00,Zone C,15.22,93.5,90.06,96.71,0,1,0,50.52,Explosion,100.0,90,19 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
13,2026-07-01 09:00:00,Zone C,44.5,27.02,51.3,89.91,0,0,0,33.23,Safe,33.23,50,3 Hours 56 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
14,2026-07-01 09:05:00,Zone C,70.62,67.37,51.67,92.95,1,0,0,49.18,Gas Ignition,89.18,85,30 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
15,2026-07-01 09:10:00,Zone C,78.36,63.69,40.86,66.88,1,0,0,54.01,Gas Ignition,94.01,85,14 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
16,2026-07-01 09:15:00,Zone C,88.84,48.7,46.54,84.94,1,0,0,49.79,Gas Ignition,89.79,85,26 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
17,2026-07-01 09:20:00,Zone B,3.81,34.75,32.49,79.38,0,0,0,22.92,Safe,22.92,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
18,2026-07-01 09:25:00,Zone A,71.05,77.63,50.37,69.31,1,0,0,57.43,Gas Ignition,95.0,85,16 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
19,2026-07-01 09:30:00,Zone B,15.54,51.48,30.7,57.84,0,0,0,34.97,Safe,34.97,50,2 Hours 16 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
20,2026-07-01 09:35:00,Zone C,1.82,29.69,39.89,81.92,0,1,0,22.37,Safe,27.37,50,4+ Hours,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
21,2026-07-01 09:40:00,Zone A,5.11,61.43,39.62,62.9,0,0,0,35.82,Safe,35.82,50,3 Hours 37 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
22,2026-07-01 09:45:00,Zone A,9.18,81.32,87.49,82.06,0,1,0,48.98,Explosion,98.98,90,22 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
23,2026-07-01 09:50:00,Zone C,3.25,67.64,53.62,61.49,0,0,0,40.75,Safe,40.75,50,2 Hours 42 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
24,2026-07-01 09:55:00,Zone C,8.14,61.93,63.89,59.19,0,0,0,43.69,Safe,43.69,50,3 Hours 23 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
25,2026-07-01 10:00:00,Zone B,2.62,98.78,30.19,51.18,0,0,0,45.1,Safe,45.1,50,2 Hours 41 Minutes,"[""High Temperature""]","[""Emergency cooling line engagement""]"
26,2026-07-01 10:05:00,Zone A,22.72,37.26,48.83,80.64,1,0,0,32.04,Safe,37.04,50,2 Hours 50 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
27,2026-07-01 10:10:00,Zone B,2.65,43.39,56.24,95.38,1,0,0,26.73,Safe,31.73,50,3 Hours 5 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
28,2026-07-01 10:15:00,Zone B,1.96,63.86,48.26,90.15,0,1,0,30.98,Safe,35.98,50,3 Hours 57 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
29,2026-07-01 10:20:00,Zone B,29.45,51.7,39.38,75.98,0,0,0,36.14,Safe,36.14,50,3 Hours 45 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
30,2026-07-01 10:25:00,Zone C,6.24,38.32,55.47,78.22,1,0,0,30.45,Safe,35.45,50,3 Hours 13 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
31,2026-07-01 10:30:00,Zone B,13.87,21.4,63.32,92.39,0,0,0,26.55,Safe,26.55,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
32,2026-07-01 10:35:00,Zone B,86.31,13.29,43.81,41.26,0,0,0,50.54,Safe,50.54,50,24 Minutes,"[""High Gas Levels""]","[""Evacuation of non-essential personnel from Zone""]"
33,2026-07-01 10:40:00,Zone A,18.36,41.05,40.9,70.66,0,0,0,32.41,Safe,32.41,50,2 Hours 7 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
34,2026-07-01 10:45:00,Zone C,11.19,33.42,72.4,73.87,1,0,0,35.79,Safe,40.79,50,3 Hours 46 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
35,2026-07-01 10:50:00,Zone A,77.77,32.52,40.6,27.95,0,0,1,55.73,Toxic Exposure,90.0,90,18 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
36,2026-07-01 10:55:00,Zone A,78.55,59.02,2.42,81.32,1,0,0,39.67,Gas Ignition,79.67,75,46 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
37,2026-07-01 11:00:00,Zone A,86.24,35.46,35.7,96.12,1,0,0,40.32,Gas Ignition,80.32,75,49 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
38,2026-07-01 11:05:00,Zone C,17.85,39.37,70.54,96.24,1,0,0,32.88,Safe,37.88,50,3 Hours 11 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
39,2026-07-01 11:10:00,Zone C,13.52,39.95,56.48,76.87,0,0,0,33.27,Safe,33.27,50,2 Hours 55 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
40,2026-07-01 11:15:00,Zone C,5.09,24.93,37.96,78.8,0,0,0,22.29,Safe,22.29,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
41,2026-07-01 11:20:00,Zone C,14.6,40.61,62.83,78.41,1,1,1,34.91,Safe,49.91,65,3 Hours 38 Minutes,"[""Active Hot Work Permit"", ""Active Maintenance Activity"", ""Confined Space Entry Active""]","[""Immediate suspension of active maintenance permits in Zone"", ""Automated trip of active hot work power lines"", ""Trigger alarm lights outside confined space entryway""]"
42,2026-07-01 11:25:00,Zone C,5.88,54.81,50.04,76.87,1,0,0,33.47,Safe,38.47,50,3 Hours 48 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
43,2026-07-01 11:30:00,Zone A,26.78,36.85,49.52,81.67,0,0,0,32.87,Safe,32.87,50,3 Hours 4 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
44,2026-07-01 11:35:00,Zone B,3.73,66.81,35.78,40.02,0,0,0,41.58,Safe,41.58,50,2 Hours 27 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
45,2026-07-01 11:40:00,Zone C,2.87,47.68,25.84,96.47,0,0,0,19.98,Safe,19.98,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
46,2026-07-01 11:45:00,Zone C,8.93,72.48,56.77,89.6,0,0,1,37.15,Safe,42.15,50,3 Hours 23 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
47,2026-07-01 11:50:00,Zone B,3.93,80.32,88.81,55.9,1,1,0,54.29,Explosion,100.0,90,21 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Hot Work Permit"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement"", ""Automated trip of active hot work power lines""]"
48,2026-07-01 11:55:00,Zone B,13.11,4.78,35.55,87.6,0,0,0,16.46,Safe,16.46,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
49,2026-07-01 12:00:00,Zone B,6.52,48.16,19.28,85.7,0,0,0,22.06,Safe,22.06,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
50,2026-07-01 12:05:00,Zone C,69.51,20.93,43.99,70.14,0,1,0,41.07,Safe,46.07,50,3 Hours 49 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
51,2026-07-01 12:10:00,Zone A,94.26,46.17,74.24,22.45,0,0,1,73.06,Toxic Exposure,90.0,90,13 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
52,2026-07-01 12:15:00,Zone A,68.16,50.82,55.03,18.32,0,0,1,63.92,Toxic Exposure,90.0,90,14 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
53,2026-07-01 12:20:00,Zone A,29.05,55.14,71.86,96.04,0,1,0,40.0,Safe,45.0,50,3 Hours 24 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
54,2026-07-01 12:25:00,Zone B,21.81,58.41,51.31,89.62,1,0,0,35.48,Safe,40.48,50,2 Hours 45 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
55,2026-07-01 12:30:00,Zone B,29.41,48.67,65.87,53.61,0,0,0,47.59,Safe,47.59,50,3 Hours 45 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
56,2026-07-01 12:35:00,Zone C,28.69,35.53,71.1,88.8,0,0,0,36.63,Safe,36.63,50,3 Hours 26 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
57,2026-07-01 12:40:00,Zone A,82.37,54.49,28.76,96.41,1,0,0,42.3,Gas Ignition,82.3,75,58 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
58,2026-07-01 12:45:00,Zone B,8.77,38.99,35.74,86.17,0,0,0,24.33,Safe,24.33,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
59,2026-07-01 12:50:00,Zone A,4.63,46.39,38.44,85.15,0,0,0,26.08,Safe,26.08,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
60,2026-07-01 12:55:00,Zone A,1.78,51.17,50.72,90.33,0,0,0,28.33,Safe,28.33,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
61,2026-07-01 13:00:00,Zone B,8.6,40.87,41.0,96.96,0,0,0,23.37,Safe,23.37,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
62,2026-07-01 13:05:00,Zone C,17.7,45.25,41.03,89.34,0,0,0,28.66,Safe,28.66,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
63,2026-07-01 13:10:00,Zone C,3.76,51.1,69.99,84.18,0,1,0,35.17,Safe,40.17,50,3 Hours 36 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
64,2026-07-01 13:15:00,Zone A,3.94,32.81,47.07,80.92,0,0,0,25.72,Safe,25.72,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
65,2026-07-01 13:20:00,Zone B,3.05,22.01,62.99,73.39,0,0,0,28.66,Safe,28.66,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
66,2026-07-01 13:25:00,Zone C,11.42,34.93,48.47,85.6,0,0,0,27.3,Safe,27.3,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
67,2026-07-01 13:30:00,Zone A,84.27,43.45,37.73,72.0,0,0,0,48.36,Gas Ignition,83.36,65,36 Minutes,"[""High Gas Levels""]","[""Evacuation of non-essential personnel from Zone""]"
68,2026-07-01 13:35:00,Zone B,88.49,30.92,19.05,62.8,1,0,0,43.91,Gas Ignition,83.91,75,42 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
69,2026-07-01 13:40:00,Zone B,4.02,62.9,73.79,45.85,0,0,0,48.72,Safe,48.72,50,2 Hours 14 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
70,2026-07-01 13:45:00,Zone A,70.84,40.09,34.82,27.27,0,0,0,54.62,Toxic Exposure,84.62,75,39 Minutes,"[""High Gas Levels"", ""Reduced Ventilation""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)""]"
71,2026-07-01 13:50:00,Zone B,9.03,60.9,69.76,90.01,0,0,0,37.42,Safe,37.42,50,3 Hours 30 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
72,2026-07-01 13:55:00,Zone B,5.91,62.19,68.48,65.39,0,0,0,42.8,Safe,42.8,50,2 Hours 53 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
73,2026-07-01 14:00:00,Zone A,61.05,29.02,19.26,28.77,0,0,1,45.14,Toxic Exposure,80.14,75,31 Minutes,"[""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
74,2026-07-01 14:05:00,Zone B,11.74,56.39,62.14,83.34,0,0,0,36.73,Safe,36.73,50,3 Hours 25 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
75,2026-07-01 14:10:00,Zone A,27.83,61.58,43.53,75.3,0,0,0,39.41,Safe,39.41,50,2 Hours 16 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
76,2026-07-01 14:15:00,Zone C,4.98,36.14,27.13,85.0,1,0,0,20.81,Safe,25.81,50,4+ Hours,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
77,2026-07-01 14:20:00,Zone B,2.62,41.74,20.57,74.58,0,0,0,22.59,Safe,22.59,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
78,2026-07-01 14:25:00,Zone B,4.69,69.98,51.56,69.14,0,0,0,39.27,Safe,39.27,50,2 Hours 39 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
79,2026-07-01 14:30:00,Zone B,13.2,50.3,53.86,68.89,0,0,0,37.12,Safe,37.12,50,3 Hours 44 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
80,2026-07-01 14:35:00,Zone A,81.86,57.16,44.26,26.87,0,0,1,64.1,Toxic Exposure,90.0,90,29 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
81,2026-07-01 14:40:00,Zone B,15.01,50.82,46.17,85.86,0,1,0,31.53,Safe,36.53,50,2 Hours 20 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
82,2026-07-01 14:45:00,Zone A,8.05,60.35,78.32,63.91,0,0,0,45.7,Safe,45.7,50,2 Hours 45 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
83,2026-07-01 14:50:00,Zone C,6.01,36.91,37.88,90.71,0,0,0,22.52,Safe,22.52,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
84,2026-07-01 14:55:00,Zone C,78.6,40.27,46.94,29.94,0,0,1,58.97,Toxic Exposure,90.0,90,22 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
85,2026-07-01 15:00:00,Zone A,6.27,52.2,74.54,90.33,0,0,0,35.67,Safe,35.67,50,2 Hours 50 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
86,2026-07-01 15:05:00,Zone B,16.17,42.99,56.07,74.88,1,0,0,35.09,Safe,40.09,50,2 Hours 20 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
87,2026-07-01 15:10:00,Zone A,93.28,34.45,31.19,29.41,0,0,1,57.38,Toxic Exposure,90.0,90,20 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
88,2026-07-01 15:15:00,Zone B,5.83,33.65,45.57,68.53,0,0,0,29.13,Safe,29.13,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
89,2026-07-01 15:20:00,Zone C,5.7,33.07,25.55,73.21,1,0,0,22.78,Safe,27.78,50,4+ Hours,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
90,2026-07-01 15:25:00,Zone C,5.16,42.26,33.51,23.93,0,0,0,39.25,Safe,39.25,50,2 Hours 8 Minutes,"[""Reduced Ventilation""]","[""Increase ventilation systems to maximum output (100%)""]"
91,2026-07-01 15:30:00,Zone C,62.98,56.49,44.5,85.41,1,0,0,44.64,Gas Ignition,84.64,65,40 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
92,2026-07-01 15:35:00,Zone A,67.95,35.29,53.96,70.45,1,0,0,46.69,Gas Ignition,86.69,75,23 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
93,2026-07-01 15:40:00,Zone A,42.34,36.4,56.47,96.32,0,0,0,34.72,Safe,34.72,50,3 Hours 25 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
94,2026-07-01 15:45:00,Zone C,93.84,52.28,46.34,25.81,0,0,1,66.66,Toxic Exposure,90.0,90,12 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
95,2026-07-01 15:50:00,Zone B,3.34,23.53,51.17,85.18,0,0,0,23.21,Safe,23.21,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
96,2026-07-01 15:55:00,Zone C,2.24,46.07,48.16,95.82,0,1,0,25.16,Safe,30.16,50,24 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
97,2026-07-01 16:00:00,Zone A,5.93,47.47,55.8,87.0,0,0,0,30.55,Safe,30.55,50,24 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
98,2026-07-01 16:05:00,Zone A,1.52,47.75,49.16,84.39,0,0,0,28.51,Safe,28.51,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
99,2026-07-01 16:10:00,Zone A,8.38,58.18,30.65,82.71,0,0,0,28.63,Safe,28.63,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
100,2026-07-01 16:15:00,Zone C,9.22,82.61,97.13,86.49,0,1,0,50.62,Explosion,100.0,90,11 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
101,2026-07-01 16:20:00,Zone B,31.45,29.17,63.43,75.4,0,0,1,37.16,Safe,42.16,50,3 Hours 34 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
102,2026-07-01 16:25:00,Zone B,16.77,41.12,34.42,65.16,0,1,0,31.79,Safe,36.79,50,3 Hours 39 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
103,2026-07-01 16:30:00,Zone B,0.65,56.04,58.34,63.68,0,0,1,37.84,Safe,42.84,50,2 Hours 58 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
104,2026-07-01 16:35:00,Zone C,71.64,50.32,35.07,88.31,1,0,0,42.18,Gas Ignition,82.18,75,37 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
105,2026-07-01 16:40:00,Zone C,5.1,45.86,24.61,86.94,0,1,0,22.16,Safe,27.16,50,4+ Hours,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
106,2026-07-01 16:45:00,Zone B,6.66,72.43,36.21,52.78,0,0,0,40.63,Safe,40.63,50,2 Hours 58 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
107,2026-07-01 16:50:00,Zone C,3.92,37.58,65.81,90.66,0,1,0,29.16,Safe,34.16,50,2 Hours 57 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
108,2026-07-01 16:55:00,Zone B,5.61,47.76,77.33,28.53,0,0,0,50.54,Safe,50.54,50,27 Minutes,"[""Reduced Ventilation""]","[""Increase ventilation systems to maximum output (100%)""]"
109,2026-07-01 17:00:00,Zone A,8.79,34.21,64.99,85.15,0,0,0,30.71,Safe,30.71,50,10 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
110,2026-07-01 17:05:00,Zone A,7.27,28.78,62.55,80.53,1,0,0,29.52,Safe,34.52,50,2 Hours 45 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
111,2026-07-01 17:10:00,Zone C,16.3,53.48,73.99,61.79,0,0,0,45.5,Safe,45.5,50,3 Hours 7 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
112,2026-07-01 17:15:00,Zone C,61.0,30.88,71.98,95.19,0,0,0,42.17,Safe,42.17,50,3 Hours 1 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
113,2026-07-01 17:20:00,Zone B,27.29,48.21,24.27,87.51,0,0,0,28.07,Safe,28.07,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
114,2026-07-01 17:25:00,Zone A,67.53,37.32,44.82,25.69,0,0,1,56.0,Toxic Exposure,90.0,90,29 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
115,2026-07-01 17:30:00,Zone B,7.6,54.3,63.78,47.73,0,0,0,44.49,Safe,44.49,50,2 Hours 14 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
116,2026-07-01 17:35:00,Zone A,97.15,15.65,43.46,20.59,0,0,1,58.92,Toxic Exposure,90.0,90,21 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
117,2026-07-01 17:40:00,Zone C,25.58,94.58,83.49,88.76,0,1,0,53.72,Explosion,100.0,90,16 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
118,2026-07-01 17:45:00,Zone C,5.55,91.92,74.36,98.06,0,1,0,43.44,Explosion,93.44,85,26 Minutes,"[""High Temperature"", ""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
